,Title,Price,Year,Distance passed,Fuel Type,Engine Volume,Type,Power,Gear Box
284,Mitsubishi Outlander 2.0TDI,7.700 €,2009. | ,236.278 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 6 brzina, "
285,Mitsubishi Colt 1.5 CZC,2.299 €,2008. | ,110.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
286,Mitsubishi Pajero sport,4.650 €,2004. | ,272.000 km | ,Dizel | ,"2500 cm3, ","Džip/SUV, ","88kW (120KS), ","Manuelni 5 brzina, "
287,Mitsubishi Pajero 2.47,2.800 €,1990. | ,200.000 km | ,Dizel | ,"2470 cm3, ","Džip/SUV, ","70kW (95KS), ","Manuelni 5 brzina, "
288,Mitsubishi Colt CZT,2.900 €,2005. | ,235.000 km | ,Benzin + Gas (TNG) | ,"1330 cm3, ","Hečbek, ","70kW (95KS), ","Manuelni 5 brzina, "
289,Mitsubishi Outlander 2.0DID,7.700 €,2008. | ,131.362 km | ,Dizel | ,"1968 cm3, ","Džip/SUV, ","103kW (140KS), ","Manuelni 5 brzina, "
290,Mitsubishi Colt CZC,3.850 €,2006. | ,144.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
291,Mitsubishi Space Star CH,1.800 €,2002. | ,143.000 km | ,Benzin | ,"1834 cm3, ","Monovolumen (MiniVan), ","90kW (122KS), ","Automatski menjač, "
292,Mitsubishi Colt ,2.699 €,2006. | ,161.000 km | ,Benzin | ,"1499 cm3, ","Kabriolet/Roadster, ","80kW (109KS), ","Manuelni 5 brzina, "
293,Mitsubishi Pajero 2.5td,500 €,1989. | ,200.000 km | ,Dizel | ,"2478 cm3, ","Džip/SUV, ","73kW (99KS), ","Manuelni 5 brzina, "
294,Mitsubishi L200 2.5d jedistven,7.200 €,1999. | ,130.000 km | ,Dizel | ,"2499 cm3, ","Džip/SUV, ","66kW (90KS), ","Manuelni 5 brzina, "
295,Mitsubishi Space Star 1.3,1.600 €,2000. | ,310.000 km | ,Benzin + Gas (TNG) | ,"1300 cm3, ","Monovolumen (MiniVan), ","60kW (82KS), ","Manuelni 5 brzina, "
296,Mitsubishi Lancer CH- KAO.NOV,5.600 €,2008. | ,153.000 km | ,Dizel | ,"1990 cm3, ","Hečbek, ","103kW (140KS), ","Manuelni 6 brzina, "
297,Mitsubishi Colt ,950 €,1998. | ,282.174 km | ,Benzin | ,"1300 cm3, ","Hečbek, ","58kW (79KS), ","Manuelni 5 brzina, "
298,Mitsubishi Pajero 4x4,4.000 €,2003. | ,185.000 km | ,Benzin | ,"2000 cm3, ","Džip/SUV, ","95kW (129KS), ","Manuelni 5 brzina, "
299,Mitsubishi ASX 1.8 DID 4x4,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
300,Mitsubishi Eclipse 1.5 Invite plus CVT,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
